Model,Memory used (bytes),Predictor size (bytes),Learner size (bytes),Models size (bytes),Total deployment size (bytes)
RF_153,133809,456,6652,461271,468379
RF_154,127904,456,6652,461271,468379
RF_155,123194,456,6652,124113,131221
RF_156,130780,458,6652,126229,133339
RF_157,129664,458,6652,594791,601901
RF_158,134877,458,6652,779959,787069
RF_159,126875,458,6652,126229,133339
RF_160,134447,456,6652,268231,275339
RF_161,128497,458,6652,126229,133339
RF_162,123851,458,6652,556669,563779
RF_163,128587,458,6652,269716,276826
RF_164,126017,458,6652,448402,455512
RF_165,127604,458,6652,594791,601901
RF_166,109234,456,6652,856889,863997
RF_167,126464,456,6652,625499,632607
RF_168,134126,456,6652,856889,863997
RF_169,128430,458,6652,126229,133339
RF_170,128666,456,6652,268231,275339
RF_171,557554,456,6652,534659,541767
RF_172,165454,458,6652,494697,501807
RF_173,150233,456,6652,172122,179230
RF_174,143991,458,6652,174401,181511
RF_175,146753,458,6652,269716,276826
RF_176,134410,458,6652,448402,455512
RF_177,137408,458,6652,659941,667051
RF_178,130809,458,6652,511653,518763
RF_179,133316,458,6652,269716,276826
RF_180,120129,456,6652,124113,131221
RF_181,130497,456,6652,172122,179230
RF_182,136738,456,6652,268231,275339
RF_183,128143,458,6652,511653,518763
RF_184,129150,458,6652,517307,524417
RF_185,129251,458,6652,454219,461329
RF_186,135248,456,6652,124113,131221
RF_187,124955,458,6652,126229,133339
RF_188,138035,458,6652,126229,133339
RF_189,128049,456,6652,625499,632607
RF_190,132393,456,6652,124113,131221
RF_191,137337,458,6652,659941,667051
RF_192,131968,456,6652,172122,179230
RF_193,135650,456,6652,534659,541767
RF_194,128809,458,6652,556669,563779
RF_195,133578,458,6652,738839,745949
RF_196,125737,458,6652,556669,563779
RF_197,125947,458,6652,704270,711380
RF_198,122292,458,6652,442781,449891
RF_199,134779,456,6652,625499,632607
RF_200,132435,458,6652,126229,133339
NN_TORCH_0,381863,396,6652,221889,228937
NN_TORCH_1,137399,414,6652,234906,241972
NN_TORCH_2,110452,412,6652,88029,95093
NN_TORCH_3,103457,429,6664,93692,100785
NN_TORCH_4,109855,538,6652,526516,533706
NN_TORCH_5,105701,537,6664,19506,26707
NN_TORCH_6,122259,538,6652,164648,171838
NN_TORCH_7,104585,538,6664,27611,34813
NN_TORCH_8,102065,537,6652,24552,31741
NN_TORCH_9,102007,537,6664,559939,567140
NN_TORCH_10,101758,537,6652,21615,28804
NN_TORCH_11,100977,538,6664,183584,190786
