Model,Memory used (bytes),Predictor size (bytes),Learner size (bytes),Models size (bytes),Total deployment size (bytes)
CAT_13,66856,525,6652,69721,76898
CAT_14,67620,521,6652,169598,176771
CAT_15,67549,521,6652,50269,57442
CAT_16,67908,525,6652,47889,55066
CAT_17,67271,521,6652,88422,95595
CAT_18,66766,525,6652,48617,55794
CAT_19,67049,525,6652,48697,55874
CAT_20,67945,525,6652,46953,54130
CAT_21,68344,525,6652,50057,57234
CAT_22,71439,525,6652,51097,58274
CAT_23,68112,525,6652,48305,55482
CAT_24,67987,521,6664,266830,274015
CAT_25,67654,525,6652,53521,60698
CAT_26,66545,525,6652,48233,55410
CAT_27,67317,525,6652,48321,55498
CAT_28,66673,521,6652,53605,60778
CAT_29,67353,525,6652,45681,52858
CAT_30,68352,525,6652,46905,54082
CAT_31,69614,525,6652,123474,130651
CAT_32,67136,525,6652,114866,122043
CAT_33,67851,525,6652,48441,55618
CAT_34,67173,525,6652,53721,60898
CAT_35,67160,521,6652,73062,80235
CAT_36,67127,521,6652,232350,239523
CAT_37,67688,525,6652,45529,52706
CAT_38,66757,525,6652,48833,56010
CAT_39,68498,525,6652,48361,55538
CAT_40,67899,521,6652,46557,53730
CAT_41,67507,525,6664,45105,52294
CAT_42,67007,525,6652,50129,57306
CAT_43,67078,521,6652,52453,59626
CAT_44,67368,521,6652,66413,73586
CAT_45,66982,525,6652,47665,54842
CAT_46,66875,521,6652,307174,314347
CAT_47,67601,521,6652,51957,59130
CAT_48,68062,525,6652,51137,58314
CAT_49,67428,525,6664,48641,55830
CAT_50,67366,521,6652,80262,87435
CAT_51,67309,521,6652,82126,89299
CAT_52,66731,525,6652,258290,265467
CAT_53,68412,521,6652,53957,61130
CAT_54,68321,521,6652,53157,60330
CAT_55,67619,521,6652,51717,58890
CAT_56,68761,521,6652,103646,110819
CAT_57,67526,521,6652,229286,236459
CAT_58,67513,525,6652,57505,64682
CAT_59,67763,521,6652,110262,117435
CAT_60,67761,525,6652,45657,52834
CAT_61,68032,525,6652,50329,57506
CAT_62,67942,525,6652,149282,156459
CAT_63,68444,521,6652,103878,111051
CAT_64,66935,525,6652,81938,89115
CAT_65,68605,521,6652,69957,77130
CAT_66,67554,521,6652,63469,70642
CAT_67,68045,521,6652,217966,225139
CAT_68,68918,525,6652,45449,52626
CAT_69,67600,525,6652,45505,52682
CAT_70,71510,521,6664,91430,98615
CAT_71,68063,521,6652,61357,68530
CAT_72,67339,525,6652,45385,52562
CAT_73,67949,521,6652,50101,57274
CAT_74,68663,521,6652,51813,58986
CAT_75,67548,521,6652,52005,59178
CAT_76,68008,525,6652,69969,77146
CAT_77,67969,525,6652,58241,65418
CAT_78,67739,525,6652,48673,55850
CAT_79,67484,525,6652,46945,54122
CAT_80,67341,525,6652,48585,55762
CAT_81,66796,521,6652,73182,80355
CAT_82,68170,525,6652,46937,54114
CAT_83,68388,525,6652,50153,57330
CAT_84,67361,525,6652,51513,58690
CAT_85,68071,525,6652,57545,64722
CAT_86,67611,525,6652,230578,237755
CAT_87,67876,521,6652,164870,172043
CAT_88,67720,521,6652,88670,95843
CAT_89,68569,525,6652,46897,54074
CAT_90,67121,521,6652,89478,96651
CAT_91,67869,525,6652,50201,57378
CAT_92,69413,521,6652,136758,143931
CAT_93,68651,521,6652,59045,66218
CAT_94,68073,521,6652,110726,117899
CAT_95,68088,521,6652,46917,54090
CAT_96,67973,525,6652,48657,55834
CAT_97,67146,525,6652,45297,52474
CAT_98,67623,525,6652,48177,55354
CAT_99,68230,525,6664,46921,54110
CAT_100,67329,522,6652,56697,63871
CAT_101,68004,522,6652,87402,94576
CAT_102,69021,526,6652,177654,184832
CAT_103,68440,526,6652,50621,57799
CAT_104,68226,522,6652,240922,248096
CAT_105,67678,526,6652,172638,179816
CAT_106,68553,526,6652,69877,77055
CAT_107,67973,526,6652,179150,186328
CAT_108,67596,522,6652,53305,60479
CAT_109,67612,526,6652,166838,174016
CAT_110,68392,526,6652,495590,502768
CAT_111,67326,526,6652,215686,222864
CAT_112,67715,526,6652,50741,57919
CAT_113,67766,526,6652,48805,55983
CAT_114,68781,526,6652,45373,52551
CAT_115,67632,522,6652,53433,60607
CAT_116,67360,526,6652,46213,53391
CAT_117,67777,522,6652,81970,89144
CAT_118,69011,522,6652,180562,187736
CAT_119,68359,526,6652,151318,158496
CAT_120,68344,526,6652,46197,53375
CAT_121,69278,526,6652,48237,55415
CAT_122,68724,522,6652,78954,86128
CAT_123,68361,522,6652,53641,60815
CAT_124,68489,526,6652,170470,177648
CAT_125,68022,522,6652,52025,59199
CAT_126,73179,526,6652,45389,52567
CAT_127,68545,526,6652,70053,77231
CAT_128,67867,522,6652,142122,149296
CAT_129,68905,522,6652,46625,53799
CAT_130,67486,522,6652,81274,88448
CAT_131,67519,522,6652,89194,96368
CAT_132,67840,522,6652,64393,71567
CAT_133,67519,526,6652,50621,57799
CAT_134,67423,522,6652,57529,64703
CAT_135,69009,526,6652,57541,64719
CAT_136,69390,526,6652,45157,52335
CAT_137,67591,526,6652,51037,58215
CAT_138,67567,526,6652,45357,52535
CAT_139,67021,526,6652,48621,55799
CAT_140,67857,522,6652,51929,59103
CAT_141,66412,526,6652,45405,52583
CAT_142,66538,522,6652,92338,99512
CAT_143,67321,526,6652,60053,67231
CAT_144,68444,522,6652,214578,221752
CAT_145,69327,522,6652,89514,96688
CAT_146,68466,526,6652,172710,179888
CAT_147,67195,526,6652,159726,166904
CAT_148,67230,526,6652,50821,57999
CAT_149,67300,526,6652,48269,55447
CAT_150,67428,522,6652,91434,98608
CAT_151,68103,526,6652,102070,109248
CAT_152,67224,522,6652,89538,96712
CAT_153,69065,522,6652,61993,69167
CAT_154,67827,522,6652,69009,76183
CAT_155,67779,526,6652,48421,55599
CAT_156,67057,522,6664,207498,214684
CAT_157,67679,522,6652,513954,521128
CAT_158,68419,522,6652,68393,75567
CAT_159,68703,522,6652,52065,59239
CAT_160,69014,522,6652,66137,73311
CAT_161,69464,522,6652,73874,81048
CAT_162,67988,522,6652,51713,58887
CAT_163,67521,526,6652,45621,52799
CAT_164,68516,526,6652,47541,54719
CAT_165,68116,522,6652,61913,69087
CAT_166,67897,526,6652,50117,57295
CAT_167,68482,526,6652,50853,58031
CAT_168,67988,522,6652,202146,209320
CAT_169,68537,526,6652,48821,55999
CAT_170,68984,526,6652,114910,122088
CAT_171,69570,526,6652,45021,52199
CAT_172,67988,522,6652,102186,109360
CAT_173,67573,526,6652,50613,57791
CAT_174,67234,522,6652,58921,66095
CAT_175,67929,522,6652,66065,73239
CAT_176,66825,522,6652,114530,121704
CAT_177,68889,526,6652,50189,57367
CAT_178,68063,526,6652,64277,71455
CAT_179,69224,526,6664,51213,58403
CAT_180,68910,522,6652,52049,59223
CAT_181,67476,522,6652,67881,75055
CAT_182,67558,526,6652,51309,58487
CAT_183,67558,526,6652,46789,53967
CAT_184,67847,522,6652,222010,229184
CAT_185,68003,526,6652,125574,132752
CAT_186,68477,522,6652,226282,233456
CAT_187,68778,522,6652,66137,73311
CAT_188,68731,526,6652,48485,55663
CAT_189,67353,522,6652,83082,90256
CAT_190,68170,526,6652,69949,77127
CAT_191,68002,526,6652,48333,55511
CAT_192,67939,526,6652,48493,55671
CAT_193,67136,526,6652,47933,55111
CAT_194,67082,522,6652,88530,95704
CAT_195,68406,522,6652,67641,74815
CAT_196,69450,522,6652,53945,61119
CAT_197,69304,526,6652,48805,55983
CAT_198,67488,526,6652,48845,56023
CAT_199,67125,526,6664,45061,52251
CAT_200,66824,522,6652,474339,481513
